"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Totaal energiebronnen";"Totaal energietoepassingen";"2017**";"  139628";"    6.60";"  199179";"    6.29";"   13646";"    8.27"
"Totaal energiebronnen";"Totaal energietoepassingen";"2018**";"  157042";"    7.41";"  220222";"    7.06";"   15166";"    9.42"
"Totaal energiebronnen";"Elektriciteit";"2017**";"   60011";"    2.84";"  133164";"    4.20";"    9829";"    5.96"
"Totaal energiebronnen";"Elektriciteit";"2018**";"   65311";"    3.08";"  143860";"    4.61";"   10652";"    6.62"
"Totaal energiebronnen";"Warmte";"2017**";"   66926";"    3.16";"   53312";"    1.68";"    2943";"    1.78"
"Totaal energiebronnen";"Warmte";"2018**";"   70579";"    3.33";"   55203";"    1.77";"    3039";"    1.89"
"Totaal energiebronnen";"Vervoer";"2017**";"   12691";"    0.60";"   12703";"    0.40";"     874";"    0.53"
"Totaal energiebronnen";"Vervoer";"2018**";"   21152";"    1.00";"   21159";"    0.68";"    1475";"    0.92"
"Waterkracht";"Totaal energietoepassingen";"2017**";"     339";"    0.02";"     761";"    0.02";"      56";"    0.03"
"Waterkracht";"Totaal energietoepassingen";"2018**";"     340";"    0.02";"     761";"    0.02";"      56";"    0.03"
"Waterkracht";"Elektriciteit";"2017**";"     339";"    0.02";"     761";"    0.02";"      56";"    0.03"
"Waterkracht";"Elektriciteit";"2018**";"     340";"    0.02";"     761";"    0.02";"      56";"    0.03"
"Waterkracht";"Warmte";"2017**";"";"";"";"";"";""
"Waterkracht";"Warmte";"2018**";"";"";"";"";"";""
"Waterkracht";"Vervoer";"2017**";"";"";"";"";"";""
"Waterkracht";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal windenergie";"Totaal energietoepassingen";"2017**";"   34710";"    1.64";"   82374";"    2.60";"    6022";"    3.65"
"Totaal windenergie";"Totaal energietoepassingen";"2018**";"   36106";"    1.70";"   84033";"    2.69";"    6143";"    3.82"
"Totaal windenergie";"Elektriciteit";"2017**";"   34710";"    1.64";"   82374";"    2.60";"    6022";"    3.65"
"Totaal windenergie";"Elektriciteit";"2018**";"   36106";"    1.70";"   84033";"    2.69";"    6143";"    3.82"
"Totaal windenergie";"Warmte";"2017**";"";"";"";"";"";""
"Totaal windenergie";"Warmte";"2018**";"";"";"";"";"";""
"Totaal windenergie";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal windenergie";"Vervoer";"2018**";"";"";"";"";"";""
"Windenergie op land";"Totaal energietoepassingen";"2017**";"   22560";"    1.07";"   54196";"    1.71";"    3962";"    2.40"
"Windenergie op land";"Totaal energietoepassingen";"2018**";"   23681";"    1.12";"   55356";"    1.77";"    4047";"    2.51"
